Bank Name,Institution ID,Routing Number
Bridge,ins_130958,011401533
Bridge,ins_130958,051402372
Chiphone Credit Union,ins_130347,011401533
Chiphone Credit Union,ins_130347,271290597
Conservation Employees Credit Union,ins_130253,011401533
Conservation Employees Credit Union,ins_130253,286580807
Equitable Bank,ins_130358,304971932
First National Bank of Pana,ins_129736,071103509
L.C.E. Credit Union,ins_130479,241280980
National Bank of St. Anne,ins_129920,011401533
National Bank of St. Anne,ins_129920,071922337
National Bank of St. Anne,ins_129920,514522689
Ocala Community Credit Union,ins_130242,263181151
Shell Western States Credit Union,ins_129756,321173218
TFNB,ins_130084,111904480
A+ Federal Credit Union,ins_131862,314977104
Ally Bank,ins_25,010446641
Ally Bank,ins_25,011401533
Ally Bank,ins_25,031176136
Ally Bank,ins_25,051157847
Ally Bank,ins_25,082307064
Ally Bank,ins_25,110000000
Ally Bank,ins_25,112227920
Ally Bank,ins_25,113923294
Ally Bank,ins_25,122105155
Ally Bank,ins_25,124003116
Ally Bank,ins_25,124085011
Ally Bank,ins_25,157512072
Ally Bank,ins_25,229147126
Ally Bank,ins_25,230183234
Ally Bank,ins_25,281214835
Ally Bank,ins_25,318825032
Ally Bank,ins_25,336206361
Ally Bank,ins_25,347695246
Ally Bank,ins_25,382861417
Ally Bank,ins_25,410182660
Ally Bank,ins_25,430498606
Ally Bank,ins_25,433965738
Ally Bank,ins_25,444171207
Ally Bank,ins_25,446424376
Ally Bank,ins_25,525211390
Ally Bank,ins_25,563196354
Ally Bank,ins_25,597533569
Ally Bank,ins_25,634682072
Ally Bank,ins_25,680275763
Ally Bank,ins_25,710108962
Ally Bank,ins_25,752910639
Ally Bank,ins_25,874708884
Ally Bank,ins_25,924832817
Ally Bank,ins_25,944191363
Ally Bank,ins_25,970124359
Ally Bank,ins_25,989615956
AngelList Stack,ins_131968,051402372
Bank of Clarkson,ins_115054,083904660
Bank21,ins_129571,011401533
Bank21,ins_129571,101908988
Benepass,ins_131957,051409702
Benepass,ins_131957,123207049
card.com - Premium Bank Account,ins_129570,073972181
Chime,ins_35,031101169
Chime,ins_35,031101279
Chime,ins_35,103100195
Chime,ins_35,103113357
"Citizens Bank (Amsterdam, MO)",ins_132254,011401533
"Citizens Bank (Amsterdam, MO)",ins_132254,021000021
"Citizens Bank (Amsterdam, MO)",ins_132254,101217514
Citizens Bank Of Chatsworth (IL),ins_131894,071108313
Clair,ins_130022,011401533
Clair,ins_130022,073972181
Clair,ins_130022,273070278
"Community Bank (Wichita, KS)",ins_129892,101114879
Creative Juice,ins_131939,051402372
Cred,ins_129272,031101059
Cred,ins_129272,031901097
Cred,ins_129272,031908485
Cred,ins_129272,031976200
Cred,ins_129272,036002069
Cred,ins_129272,036076299
Cred,ins_129272,231371964
Cred,ins_129272,231375096
Cred,ins_129272,236074156
Cred,ins_129272,236075689
Discover,ins_33,000516921
Discover,ins_33,003823682
Discover,ins_33,005473483
Discover,ins_33,008539683
Discover,ins_33,009892905
Discover,ins_33,011401533
Discover,ins_33,012518137
Discover,ins_33,017014050
Discover,ins_33,031091208
Discover,ins_33,031100649
Discover,ins_33,065678257
Discover,ins_33,068297790
Discover,ins_33,071070687
Discover,ins_33,083593466
Discover,ins_33,091000019
Discover,ins_33,100914164
Discover,ins_33,101469919
Discover,ins_33,107629520
Discover,ins_33,127519571
Discover,ins_33,130499002
Discover,ins_33,135317037
Discover,ins_33,140033982
Discover,ins_33,151916344
Discover,ins_33,153278145
Discover,ins_33,153387492
Discover,ins_33,156214847
Discover,ins_33,165526908
Discover,ins_33,169331568
Discover,ins_33,216550865
Discover,ins_33,217986108
Discover,ins_33,222084707
Discover,ins_33,249410464
Discover,ins_33,258271636
Discover,ins_33,260237639
Discover,ins_33,262907556
Discover,ins_33,267060919
Discover,ins_33,268999429
Discover,ins_33,271253246
Discover,ins_33,277237923
Discover,ins_33,279547284
Discover,ins_33,287230350
Discover,ins_33,309160777
Discover,ins_33,310081748
Discover,ins_33,327476427
Discover,ins_33,329577573
Discover,ins_33,339314250
Discover,ins_33,343339519
Discover,ins_33,343756024
Discover,ins_33,354882987
Discover,ins_33,358934158
Discover,ins_33,366032246
Discover,ins_33,403496114
Discover,ins_33,408729093
Discover,ins_33,411895228
Discover,ins_33,443580433
Discover,ins_33,458449323
Discover,ins_33,461479458
Discover,ins_33,470709449
Discover,ins_33,478050307
Discover,ins_33,492583601
Discover,ins_33,511988022
Discover,ins_33,514274500
Discover,ins_33,520028070
Discover,ins_33,537710737
Discover,ins_33,549318952
Discover,ins_33,563508557
Discover,ins_33,565306812
Discover,ins_33,572278357
Discover,ins_33,573243048
Discover,ins_33,578417507
Discover,ins_33,582665866
Discover,ins_33,583213819
Discover,ins_33,606774484
Discover,ins_33,620065674
Discover,ins_33,630727436
Discover,ins_33,638587911
Discover,ins_33,639573995
Discover,ins_33,640794378
Discover,ins_33,645196719
Discover,ins_33,673176277
Discover,ins_33,684336925
Discover,ins_33,684453154
Discover,ins_33,712214498
Discover,ins_33,719957062
Discover,ins_33,724670897
Discover,ins_33,726191730
Discover,ins_33,729040781
Discover,ins_33,735785179
Discover,ins_33,747683094
Discover,ins_33,755104989
Discover,ins_33,776608846
Discover,ins_33,777294314
Discover,ins_33,786884391
Discover,ins_33,806284392
Discover,ins_33,808263997
Discover,ins_33,819675943
Discover,ins_33,834518991
Discover,ins_33,850242445
Discover,ins_33,859072140
Discover,ins_33,859259358
Discover,ins_33,872109362
Discover,ins_33,876956469
Discover,ins_33,878805204
Discover,ins_33,882851150
Discover,ins_33,886302414
Discover,ins_33,886389482
Discover,ins_33,889270679
Discover,ins_33,894309904
Discover,ins_33,894774063
Discover,ins_33,902523889
Discover,ins_33,903706663
Discover,ins_33,908271119
Discover,ins_33,912701811
Discover,ins_33,916468053
Discover,ins_33,937054213
Discover,ins_33,938564618
Discover,ins_33,949228370
Discover,ins_33,951623714
Discover,ins_33,955241833
Discover,ins_33,962865561
Discover,ins_33,967980784
Discover,ins_33,980651595
Educational Employees Credit Union (EECU),ins_109535,321172594
Ellis,ins_131986,051402372
Enzo,ins_130962,051402372
Farmers & Merchants Bank (ME Banking) - Personal,ins_114115,082901033
Farmers & Merchants Bank (ME Banking) - Personal,ins_114115,082901619
Farmers & Merchants Bank (ME Banking) - Personal,ins_114115,082907477
Farmers & Merchants Bank (ME Banking) - Personal,ins_114115,084102979
Fifth Third Bank,ins_26,003337149
Fifth Third Bank,ins_26,011401533
Fifth Third Bank,ins_26,041002711
Fifth Third Bank,ins_26,041200050
Fifth Third Bank,ins_26,042000314
Fifth Third Bank,ins_26,042100230
Fifth Third Bank,ins_26,042100272
Fifth Third Bank,ins_26,042101190
Fifth Third Bank,ins_26,042202196
Fifth Third Bank,ins_26,042207735
Fifth Third Bank,ins_26,043018868
Fifth Third Bank,ins_26,044002161
Fifth Third Bank,ins_26,044002679
Fifth Third Bank,ins_26,051504665
Fifth Third Bank,ins_26,053100737
Fifth Third Bank,ins_26,053104843
Fifth Third Bank,ins_26,053111658
